Precursor,Sintering_Time_Hours,Atmosphere,Solvent,Discharge_Capacity_mAh_g
BPA,24.0,Ar,acetonitrile,100.0
Li2CO3,24.0,N2,acetone,100.0
CL,24.0,Vacuum,THF,97.6
TEA,24.0,Ar,THF,97.6
LC,2.0,Other,Deionized Water,95.0
PAN,12.0,N2,DMF,85.0
Li metal,13.0,Ar,tetraglycol and oleylamine,72.0
PAN,24.0,Ar,DMF,61.1
acetylene black,12.0,Reducing (H2),Deionized Water,61.0
Na2S,6.0,Ar,acetone,60.0
